rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
154,university of missouri columbia,us,17,16,55.17,0.2937751407499738,0.7497066803628764,1.0,0.6470588235294118,True,0.4117647058823529,-0.06749393559904843,0.6470588235294118,0.0,58.8,0.0,11.8,0.0,0.0,5.9,11.8,11.8
155,tilburg university,nl,37,34,55.1,0.36507624174218145,0.6971780205864285,1.0,0.5783783783783785,True,0.2972972972972973,-0.2361926591561624,0.6486486486486487,0.0,35.1,5.4,0.0,2.7,2.7,5.4,5.4,43.2
156,university of connecticut,us,32,32,54.76,0.32743755953779635,0.749791291796662,1.0,0.55,True,0.25,-0.1710383513553137,0.28125,0.0,56.2,0.0,0.0,0.0,3.1,25.0,3.1,12.5
157,paris school of economics,fr,22,21,54.76,0.36712857448978486,0.6985511231768197,1.0,0.5636363636363636,True,0.2727272727272727,-0.1913519644078251,0.5909090909090909,0.0,27.3,18.2,0.0,9.1,0.0,13.6,13.6,18.2
158,university of glasgow,gb,27,26,54.43,0.3584819566762704,0.728492493051626,1.0,0.5111111111111111,True,0.18518518518518517,-0.28071467683599594,0.5925925925925926,0.0,44.4,3.7,0.0,11.1,0.0,14.8,7.4,18.5
159,renmin university of china,cn,31,27,54.37,0.3916780668771409,0.6713558269299299,1.0,0.5548387096774193,True,0.25806451612903225,-0.30557106136069667,0.16129032258064516,0.0,32.3,6.5,0.0,0.0,0.0,12.9,16.1,32.3
160,copenhagen business school,dk,16,16,54.32,0.3343477289173466,0.7385874214840674,1.0,0.55,True,0.25,-0.2781367565385021,0.6875,0.0,56.2,6.2,6.2,0.0,0.0,6.2,18.8,6.2
161,jadavpur university,in,19,19,54.22,0.2889681946872727,0.7727986454724726,1.0,0.5894736842105264,True,0.3157894736842105,-0.07767163390785708,0.05263157894736842,0.0,57.9,10.5,0.0,5.3,5.3,10.5,0.0,10.5
162,kyoto university,jp,52,46,54.13,0.32743856860761394,0.7797103774087004,1.0,0.46923076923076923,True,0.11538461538461539,-0.2860957574793813,0.34615384615384615,0.0,59.6,1.9,1.9,0.0,1.9,15.4,1.9,17.3
163,nanjing university of aeronautics and astronautics,cn,28,23,54.1,0.34053186642049676,0.674773899446384,1.0,0.6785714285714286,True,0.4642857142857143,-0.0646444460817886,0.32142857142857145,0.0,35.7,0.0,3.6,3.6,0.0,3.6,21.4,32.1
164,universidade de coimbra,pt,32,26,54.04,0.30186188423652893,0.7334451379505083,1.0,0.64375,True,0.40625,-0.1318819625347435,0.40625,0.0,34.4,18.8,9.4,0.0,0.0,12.5,6.2,18.8
165,university of wyoming,us,21,21,53.8,0.3163509484306622,0.7338816383762543,1.0,0.6,True,0.3333333333333333,-0.1001246886988747,0.3333333333333333,0.0,47.6,9.5,0.0,4.8,0.0,4.8,9.5,23.8
166,university of helsinki,fi,24,21,53.77,0.3166227704294343,0.6690715266687824,1.0,0.75,True,0.5833333333333334,-0.06772785826726946,0.2916666666666667,0.0,12.5,16.7,8.3,8.3,0.0,12.5,12.5,29.2
167,hitotsubashi university,jp,20,19,53.66,0.3199873160234743,0.7372286793356606,1.0,0.5800000000000001,True,0.3,-0.14853078774622397,0.3,0.0,55.0,5.0,0.0,0.0,0.0,20.0,10.0,10.0
168,southeast university,cn,31,27,53.62,0.32769166784599685,0.7223362190867927,1.0,0.5935483870967742,True,0.3225806451612903,-0.11939281160304771,0.12903225806451613,0.0,51.6,0.0,3.2,0.0,0.0,3.2,16.1,25.8
169,west virginia university,us,35,35,53.24,0.3025351712967944,0.7870754031532078,1.0,0.5028571428571429,True,0.17142857142857143,-0.2533685159987639,0.2,0.0,62.9,2.9,5.7,0.0,0.0,11.4,2.9,14.3
170,university of colorado boulder,us,26,26,53.22,0.33696971585842883,0.7323727646397049,1.0,0.5384615384615385,True,0.23076923076923078,-0.24071487871744845,0.46153846153846156,0.0,50.0,0.0,7.7,0.0,3.8,7.7,11.5,19.2
171,osaka university,jp,24,21,53.21,0.3180487588931599,0.7167987993960552,1.0,0.625,True,0.375,-0.06511354608377251,0.20833333333333334,0.0,41.7,0.0,0.0,8.3,0.0,20.8,0.0,29.2
172,university of ibadan,ng,56,48,53.05,0.28918943435290595,0.757751936492453,1.0,0.6035714285714286,True,0.3392857142857143,-0.0252755166312294,0.125,0.0,44.6,5.4,8.9,3.6,7.1,8.9,5.4,16.1
173,kyushu university,jp,19,19,52.96,0.2829970765374008,0.77023454290837,1.0,0.5894736842105264,True,0.3157894736842105,-0.03942992724275973,0.5789473684210527,0.0,63.2,10.5,0.0,0.0,0.0,15.8,5.3,5.3
174,università degli studi di siena,it,20,20,52.9,0.31129771767089987,0.6772286793356607,1.0,0.73,True,0.55,0.017606527727302368,0.5,0.0,20.0,20.0,0.0,5.0,0.0,15.0,15.0,25.0
175,arizona state university,us,18,17,52.72,0.3405239631615945,0.783924925616485,1.0,0.4,True,0.0,-0.32394960873664147,0.3888888888888889,0.0,72.2,0.0,0.0,5.6,0.0,11.1,0.0,11.1
176,stellenbosch university,za,16,16,52.67,0.35381476838877113,0.6719207548174008,1.0,0.625,True,0.375,-0.08908200541425754,0.625,0.0,12.5,6.2,6.2,18.8,6.2,12.5,12.5,25.0
177,university of southampton,gb,24,24,52.67,0.3714939666517855,0.6838442539415097,1.0,0.55,True,0.25,-0.23959417116365356,0.5833333333333334,0.0,29.2,8.3,0.0,4.2,0.0,25.0,8.3,25.0
178,zhejiang university,cn,28,19,52.65,0.3382576849659606,0.721648899446384,1.0,0.55,True,0.25,-0.28227820388364816,0.14285714285714285,0.0,50.0,0.0,0.0,0.0,0.0,0.0,7.1,42.9
179,maastricht university,nl,35,34,52.51,0.35499717967735295,0.714348130425935,1.0,0.52,True,0.2,-0.24975131239791015,0.8,0.0,34.3,5.7,11.4,2.9,0.0,22.9,5.7,17.1
180,erasmus university rotterdam,nl,23,22,52.47,0.3786596928441066,0.6602127249634052,1.0,0.5826086956521739,True,0.30434782608695654,-0.21168268252065275,0.6956521739130435,0.0,21.7,8.7,0.0,4.3,0.0,30.4,13.0,21.7
181,humboldt-universität zu berlin,de,18,17,52.36,0.3141552342085392,0.6970828203533269,1.0,0.6666666666666667,True,0.4444444444444444,-0.06589337569643178,0.5,0.0,22.2,27.8,5.6,0.0,0.0,16.7,16.7,11.1
182,university of california,us,15,15,52.05,0.3827393406405758,0.6639756335264693,1.0,0.5556613226452906,False,1.0,0.5047046509671895,0.4,0.0,33.3,0.0,0.0,0.0,0.0,13.3,26.7,26.7
183,university of sussex,gb,24,23,52.0,0.37209524823560275,0.6781624357596915,1.0,0.55,True,0.25,-0.2017131857649495,0.75,0.0,25.0,0.0,4.2,12.5,4.2,8.3,8.3,37.5
184,fudan university,cn,26,24,51.46,0.3690336984594938,0.6628075472484005,1.0,0.5846153846153846,True,0.3076923076923077,-0.19859160054451758,0.15384615384615385,0.0,26.9,3.8,7.7,0.0,0.0,7.7,19.2,34.6
185,tongji university,cn,32,28,51.27,0.34712100895193204,0.6449835994889698,1.0,0.68125,True,0.46875,-0.05833588487221347,0.34375,0.0,31.2,0.0,3.1,0.0,0.0,6.2,28.1,31.2
