rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
167,zhejiang university,cn,87,71,66.34,0.40818216959865666,0.7128317758305301,1.0,0.5517241379310345,True,0.25287356321839083,-0.19054762300984684,0.3218390804597701,0.0,37.9,6.9,2.3,0.0,1.1,17.2,4.6,29.9
168,university of texas at dallas,us,26,26,66.26,0.36585254311114057,0.7070217394318854,1.0,0.676923076923077,True,0.46153846153846156,-0.10906114589957844,0.19230769230769232,0.0,30.8,15.4,0.0,0.0,7.7,11.5,7.7,26.9
169,university of california san diego,us,83,76,66.22,0.42498802192004403,0.6710970875132692,1.0,0.6024096385542168,True,0.3373493975903614,-0.22741489687977046,0.14457831325301204,0.0,20.5,12.0,7.2,0.0,9.6,14.5,9.6,26.5
170,chongqing university,cn,31,28,66.2,0.3810548332984816,0.6337843139973869,1.0,0.8064516129032258,True,0.6774193548387096,0.1035109707568172,0.5161290322580645,0.0,19.4,0.0,0.0,0.0,0.0,32.3,6.5,41.9
171,durham university,gb,33,29,66.2,0.38745530396662664,0.6447735851672968,1.0,0.7636363636363637,True,0.6060606060606061,-0.031322077108975555,0.42424242424242425,0.0,12.1,12.1,3.0,0.0,3.0,36.4,6.1,27.3
172,university of sussex,gb,37,36,66.18,0.3909197925634982,0.6714561405941532,1.0,0.6918918918918919,True,0.4864864864864865,-0.06903178634143486,0.6216216216216216,0.0,24.3,10.8,0.0,0.0,8.1,29.7,10.8,16.2
173,"university of california, san diego",us,63,55,66.07,0.45885125447909036,0.6406385543839365,1.0,0.580952380952381,True,0.30158730158730157,-0.23580911217890665,0.15873015873015872,0.0,20.6,7.9,3.2,0.0,6.3,19.0,15.9,27.0
174,university of plymouth,gb,26,25,65.99,0.3453093309357761,0.728760869866668,1.0,0.676923076923077,True,0.46153846153846156,-0.018627324460826544,0.5769230769230769,0.0,30.8,19.2,7.7,0.0,3.8,26.9,3.8,7.7
175,university of warwick,gb,45,42,65.98,0.4379962045844412,0.6557384617517958,1.0,0.6,True,0.3333333333333333,-0.18326321875984164,0.5777777777777777,0.0,22.2,8.9,2.2,0.0,0.0,33.3,8.9,24.4
176,university of new mexico,us,54,48,65.93,0.4128099735160249,0.6746351353225233,1.0,0.6222222222222222,True,0.37037037037037035,-0.07083974433418155,0.24074074074074073,0.0,25.9,7.4,3.7,1.9,5.6,18.5,9.3,27.8
177,university of north carolina,us,24,23,65.85,0.37789597176341,0.6914318184969711,1.0,0.675,True,0.4583333333333333,-0.007472238814979326,0.041666666666666664,0.0,20.8,12.5,12.5,0.0,4.2,20.8,8.3,20.8
178,university of bath,gb,27,24,65.74,0.4051233411867382,0.6441063832737601,1.0,0.711111111111111,True,0.5185185185185185,-0.04256712989156719,0.3333333333333333,0.0,18.5,3.7,0.0,0.0,7.4,40.7,11.1,18.5
179,thapar university,in,22,19,65.52,0.3282255368183901,0.7469761908063506,1.0,0.6727272727272727,True,0.45454545454545453,-0.013383238988714186,0.18181818181818182,0.0,54.5,4.5,0.0,0.0,0.0,18.2,4.5,18.2
180,harbin institute of technology,cn,72,64,65.5,0.3755954100909546,0.6953586958028992,1.0,0.6666666666666667,True,0.4444444444444444,-0.07507263085195559,0.3888888888888889,0.0,30.6,13.9,0.0,1.4,0.0,23.6,6.9,23.6
181,old dominion university,us,33,30,65.49,0.36489050313489657,0.7126981134691835,1.0,0.6545454545454545,True,0.42424242424242425,0.005484671949014863,0.24242424242424243,0.0,36.4,12.1,0.0,3.0,0.0,18.2,9.1,21.2
182,clemson university,us,46,45,65.36,0.36183201651247754,0.7238333335434352,1.0,0.6347826086956522,True,0.391304347826087,-0.16604513829967,0.21739130434782608,0.0,34.8,4.3,8.7,4.3,10.9,17.4,6.5,13.0
183,kaist,kr,22,21,65.22,0.3519128245522039,0.6945952384253983,1.0,0.7272727272727273,True,0.5454545454545454,0.03183794668493034,0.2727272727272727,0.0,13.6,22.7,13.6,0.0,0.0,18.2,4.5,27.3
184,"university of california, riverside",us,22,22,65.2,0.3391408769450563,0.7207857146158745,1.0,0.7,True,0.5,-0.02411499000080808,0.2727272727272727,0.0,36.4,13.6,4.5,0.0,9.1,9.1,13.6,13.6
185,king's college london,gb,44,39,65.16,0.43802606923663784,0.6542656252166676,1.0,0.5909090909090909,True,0.3181818181818182,-0.21547871845704092,0.4090909090909091,0.0,20.5,9.1,0.0,0.0,2.3,43.2,4.5,20.5
186,university of idaho,us,31,29,65.15,0.3610798755404353,0.6994705885071907,1.0,0.6903225806451614,True,0.4838709677419355,-0.10864744233419693,0.3548387096774194,0.0,35.5,3.2,6.5,0.0,6.5,16.1,12.9,19.4
187,the university of texas at arlington,us,16,14,65.09,0.3519383960656569,0.7214722226074091,1.0,0.6625000000000001,True,0.4375,-0.09248202137395034,0.5625,0.0,37.5,12.5,0.0,6.2,0.0,0.0,6.2,37.5
188,university of liverpool,gb,34,31,64.97,0.37239086970410645,0.7569074076641987,1.0,0.5235294117647059,True,0.20588235294117646,-0.2444574289704306,0.7058823529411765,0.0,50.0,8.8,2.9,0.0,0.0,17.6,2.9,17.6
189,university of saskatchewan,ca,35,34,64.86,0.3638171503909775,0.7013272729793951,1.0,0.6742857142857143,True,0.45714285714285713,-0.04990661337858765,0.45714285714285713,0.0,40.0,0.0,0.0,0.0,8.6,22.9,8.6,20.0
190,university of notre dame,us,41,41,64.74,0.4007664878080473,0.6880819674404383,1.0,0.6048780487804879,True,0.34146341463414637,-0.17376781656169799,0.14634146341463414,0.0,26.8,7.3,7.3,0.0,9.8,24.4,9.8,14.6
191,northeastern university,us,76,71,64.69,0.4559865330777965,0.648156250144445,1.0,0.55,True,0.25,-0.29587931180742266,0.3157894736842105,0.0,18.4,11.8,1.3,0.0,11.8,23.7,11.8,21.1
